"","title","event_description","observation_number","parliament_number","session_number","chamber_number","bill_number","event_number","member_name","event_date","event_chamber","document_url","parliament_path","session_path","chamber_path","bill_path","event_path","observation_path"
"14","Prisons (Interference with Wireless Telegraphy) Bill","3rd reading (Minutes of Proceedings): House of Lords 12 December, 2018",14,57,"2017-2019",1,1,14,"Baroness Pidding"," 12 December, 2018","House of Commons","http://lordsbusiness.parliament.uk/ItemOfBusiness?itemOfBusinessId=56760&sectionId=40&businessPaperDate=2018-12-12","/parliament-57","/parliament-57/session-2017-2019","/parliament-57/session-2017-2019/chamber-1","/parliament-57/session-2017-2019/chamber-1/bill-1","/parliament-57/session-2017-2019/chamber-1/bill-1/event-14","/parliament-57/session-2017-2019/chamber-1/bill-1/event-14"
"15","Prisons (Interference with Wireless Telegraphy) Bill","Royal Assent (Hansard) 20 December, 2018",15,57,"2017-2019",1,1,15,"Baroness Pidding"," 20 December, 2018","House of Commons","https://hansard.parliament.uk/lords/2018-12-20/debates/2779639B-5A99-4BB7-8563-714492A4F3FB/RoyalAssent","/parliament-57","/parliament-57/session-2017-2019","/parliament-57/session-2017-2019/chamber-1","/parliament-57/session-2017-2019/chamber-1/bill-1","/parliament-57/session-2017-2019/chamber-1/bill-1/event-15","/parliament-57/session-2017-2019/chamber-1/bill-1/event-15"
"16","Prisons (Interference with Wireless Telegraphy) Bill","Royal Assent (Minutes of Proceedings) 20 December, 2018",16,57,"2017-2019",1,1,16,"Baroness Pidding"," 20 December, 2018","House of Commons","http://lordsbusiness.parliament.uk/ItemOfBusiness?itemOfBusinessId=57399&sectionId=40&businessPaperDate=2018-12-20","/parliament-57","/parliament-57/session-2017-2019","/parliament-57/session-2017-2019/chamber-1","/parliament-57/session-2017-2019/chamber-1/bill-1","/parliament-57/session-2017-2019/chamber-1/bill-1/event-16","/parliament-57/session-2017-2019/chamber-1/bill-1/event-16"
"17","Prisons (Interference with Wireless Telegraphy) Bill","1st reading: House of Commons 19 July, 2017",17,57,"2017-2019",1,2,1,"Maria Caulfield"," 19 July, 2017","House of Commons","https://hansard.parliament.uk/commons/2017-07-19/debates/AE667929-DA6E-4938-9928-FE573D5D0F3A/PointsOfOrder#contribution-AFAE31A7-9A6A-47A2-A317-07F09FE4F504","/parliament-57","/parliament-57/session-2017-2019","/parliament-57/session-2017-2019/chamber-1","/parliament-57/session-2017-2019/chamber-1/bill-2","/parliament-57/session-2017-2019/chamber-1/bill-2/event-1","/parliament-57/session-2017-2019/chamber-1/bill-2/event-1"
"18","Prisons (Interference with Wireless Telegraphy) Bill","2nd reading: House of Commons 1 December, 2017",18,57,"2017-2019",1,2,2,"Maria Caulfield"," 1 December, 2017","House of Commons","https://hansard.parliament.uk/commons/2017-12-01/debates/3917F02B-026A-4CE6-86C8-B786CABAF6D9/Prisons(InterferenceWithWirelessTelegraphy)Bill#contribution-E3350E95-B165-4D08-819A-17E10E909883","/parliament-57","/parliament-57/session-2017-2019","/parliament-57/session-2017-2019/chamber-1","/parliament-57/session-2017-2019/chamber-1/bill-2","/parliament-57/session-2017-2019/chamber-1/bill-2/event-2","/parliament-57/session-2017-2019/chamber-1/bill-2/event-2"
"19","Prisons (Interference with Wireless Telegraphy) Bill","Money resolution: House of Commons 1 May, 2018",19,57,"2017-2019",1,2,3,"Maria Caulfield"," 1 May, 2018","House of Commons","https://hansard.parliament.uk/commons/2018-05-01/debates/F8578DF8-5986-42AF-B553-417589BFC322/Prisons(InterferenceWithWirelessTelegraphy)Bill(Money)","/parliament-57","/parliament-57/session-2017-2019","/parliament-57/session-2017-2019/chamber-1","/parliament-57/session-2017-2019/chamber-1/bill-2","/parliament-57/session-2017-2019/chamber-1/bill-2/event-3","/parliament-57/session-2017-2019/chamber-1/bill-2/event-3"
"20","Prisons (Interference with Wireless Telegraphy) Bill","Committee Debate: 1st sitting: House of Commons 9 May, 2018(1)(2)",20,57,"2017-2019",1,2,4,"Maria Caulfield"," 9 May, 2018","House of Commons","https://hansard.parliament.uk/commons/2018-05-09/debates/d78eade4-2e02-472d-80fd-f85a5b6ff26b/Prisons(InterferenceWithWirelessTelegraphy)Bill","/parliament-57","/parliament-57/session-2017-2019","/parliament-57/session-2017-2019/chamber-1","/parliament-57/session-2017-2019/chamber-1/bill-2","/parliament-57/session-2017-2019/chamber-1/bill-2/event-4","/parliament-57/session-2017-2019/chamber-1/bill-2/event-4"
"21","Prisons (Interference with Wireless Telegraphy) Bill","Report stage: House of Commons 6 July, 2018",21,57,"2017-2019",1,2,5,"Maria Caulfield"," 6 July, 2018","House of Commons","https://hansard.parliament.uk/commons/2018-07-06/debates/4C169D4D-2EB6-4E79-B2FA-F55B2C56D759/Prisons(InterferenceWithWirelessTelegraphy)Bill","/parliament-57","/parliament-57/session-2017-2019","/parliament-57/session-2017-2019/chamber-1","/parliament-57/session-2017-2019/chamber-1/bill-2","/parliament-57/session-2017-2019/chamber-1/bill-2/event-5","/parliament-57/session-2017-2019/chamber-1/bill-2/event-5"
"22","Prisons (Interference with Wireless Telegraphy) Bill","3rd reading: House of Commons 6 July, 2018",22,57,"2017-2019",1,2,6,"Maria Caulfield"," 6 July, 2018","House of Commons","https://hansard.parliament.uk/commons/2018-07-06/debates/4C169D4D-2EB6-4E79-B2FA-F55B2C56D759/Prisons(InterferenceWithWirelessTelegraphy)Bill","/parliament-57","/parliament-57/session-2017-2019","/parliament-57/session-2017-2019/chamber-1","/parliament-57/session-2017-2019/chamber-1/bill-2","/parliament-57/session-2017-2019/chamber-1/bill-2/event-6","/parliament-57/session-2017-2019/chamber-1/bill-2/event-6"
"23","Prisons (Interference with Wireless Telegraphy) Bill","1st reading (Hansard): House of Lords 9 July, 2018",23,57,"2017-2019",1,2,7,"Maria Caulfield"," 9 July, 2018","House of Commons","https://hansard.parliament.uk/lords/2018-07-09/debates/7674C52A-E3E6-4F3F-B83A-249CA10451FD/Prisons(InterferenceWithWirelessTelegraphy)Bill","/parliament-57","/parliament-57/session-2017-2019","/parliament-57/session-2017-2019/chamber-1","/parliament-57/session-2017-2019/chamber-1/bill-2","/parliament-57/session-2017-2019/chamber-1/bill-2/event-7","/parliament-57/session-2017-2019/chamber-1/bill-2/event-7"
"24","Prisons (Interference with Wireless Telegraphy) Bill","1st reading (Minutes of Proceedings): House of Lords 9 July, 2018",24,57,"2017-2019",1,2,8,"Maria Caulfield"," 9 July, 2018","House of Commons","http://lordsbusiness.parliament.uk/ItemOfBusiness?itemOfBusinessId=51463&sectionId=40&businessPaperDate=2018-07-09","/parliament-57","/parliament-57/session-2017-2019","/parliament-57/session-2017-2019/chamber-1","/parliament-57/session-2017-2019/chamber-1/bill-2","/parliament-57/session-2017-2019/chamber-1/bill-2/event-8","/parliament-57/session-2017-2019/chamber-1/bill-2/event-8"
"25","Prisons (Interference with Wireless Telegraphy) Bill","2nd reading (Hansard): House of Lords 26 October, 2018",25,57,"2017-2019",1,2,9,"Maria Caulfield"," 26 October, 2018","House of Commons","https://hansard.parliament.uk/lords/2018-10-26/debates/204539EA-BB8C-475B-BCF9-83AA901283AF/Prisons(InterferenceWithWirelessTelegraphy)Bill","/parliament-57","/parliament-57/session-2017-2019","/parliament-57/session-2017-2019/chamber-1","/parliament-57/session-2017-2019/chamber-1/bill-2","/parliament-57/session-2017-2019/chamber-1/bill-2/event-9","/parliament-57/session-2017-2019/chamber-1/bill-2/event-9"
"26","Prisons (Interference with Wireless Telegraphy) Bill","2nd reading (Minutes of Proceedings): House of Lords 26 October, 2018",26,57,"2017-2019",1,2,10,"Maria Caulfield"," 26 October, 2018","House of Commons","http://lordsbusiness.parliament.uk/ItemOfBusiness?itemOfBusinessId=54155&sectionId=40&businessPaperDate=2018-10-26","/parliament-57","/parliament-57/session-2017-2019","/parliament-57/session-2017-2019/chamber-1","/parliament-57/session-2017-2019/chamber-1/bill-2","/parliament-57/session-2017-2019/chamber-1/bill-2/event-10","/parliament-57/session-2017-2019/chamber-1/bill-2/event-10"
"27","Prisons (Interference with Wireless Telegraphy) Bill","Order of Commitment discharged (Hansard): House of Lords 26 November, 2018",27,57,"2017-2019",1,2,11,"Maria Caulfield"," 26 November, 2018","House of Commons","https://hansard.parliament.uk/lords/2018-11-26/debates/3125CC59-B99F-47FF-9292-345A6518DB2D/Prisons(InterferenceWithWirelessTelegraphy)Bill","/parliament-57","/parliament-57/session-2017-2019","/parliament-57/session-2017-2019/chamber-1","/parliament-57/session-2017-2019/chamber-1/bill-2","/parliament-57/session-2017-2019/chamber-1/bill-2/event-11","/parliament-57/session-2017-2019/chamber-1/bill-2/event-11"
"28","Prisons (Interference with Wireless Telegraphy) Bill","Order of Commitment discharged (Minutes of Proceedings): House of Lords 26 November, 2018",28,57,"2017-2019",1,2,12,"Maria Caulfield"," 26 November, 2018","House of Commons","http://lordsbusiness.parliament.uk/ItemOfBusiness?itemOfBusinessId=55873&sectionId=40&businessPaperDate=2018-11-26","/parliament-57","/parliament-57/session-2017-2019","/parliament-57/session-2017-2019/chamber-1","/parliament-57/session-2017-2019/chamber-1/bill-2","/parliament-57/session-2017-2019/chamber-1/bill-2/event-12","/parliament-57/session-2017-2019/chamber-1/bill-2/event-12"
"29","Prisons (Interference with Wireless Telegraphy) Bill","3rd reading (Hansard): House of Lords 12 December, 2018",29,57,"2017-2019",1,2,13,"Maria Caulfield"," 12 December, 2018","House of Commons","https://hansard.parliament.uk/lords/2018-12-12/debates/7B11488B-51EC-4BE5-A08E-137DDB6F000D/Prisons(InterferenceWithWirelessTelegraphy)Bill","/parliament-57","/parliament-57/session-2017-2019","/parliament-57/session-2017-2019/chamber-1","/parliament-57/session-2017-2019/chamber-1/bill-2","/parliament-57/session-2017-2019/chamber-1/bill-2/event-13","/parliament-57/session-2017-2019/chamber-1/bill-2/event-13"
"30","Prisons (Interference with Wireless Telegraphy) Bill","3rd reading (Minutes of Proceedings): House of Lords 12 December, 2018",30,57,"2017-2019",1,2,14,"Maria Caulfield"," 12 December, 2018","House of Commons","http://lordsbusiness.parliament.uk/ItemOfBusiness?itemOfBusinessId=56760&sectionId=40&businessPaperDate=2018-12-12","/parliament-57","/parliament-57/session-2017-2019","/parliament-57/session-2017-2019/chamber-1","/parliament-57/session-2017-2019/chamber-1/bill-2","/parliament-57/session-2017-2019/chamber-1/bill-2/event-14","/parliament-57/session-2017-2019/chamber-1/bill-2/event-14"
"31","Prisons (Interference with Wireless Telegraphy) Bill","Royal Assent (Hansard) 20 December, 2018",31,57,"2017-2019",1,2,15,"Maria Caulfield"," 20 December, 2018","House of Commons","https://hansard.parliament.uk/lords/2018-12-20/debates/2779639B-5A99-4BB7-8563-714492A4F3FB/RoyalAssent","/parliament-57","/parliament-57/session-2017-2019","/parliament-57/session-2017-2019/chamber-1","/parliament-57/session-2017-2019/chamber-1/bill-2","/parliament-57/session-2017-2019/chamber-1/bill-2/event-15","/parliament-57/session-2017-2019/chamber-1/bill-2/event-15"
"32","Prisons (Interference with Wireless Telegraphy) Bill","Royal Assent (Minutes of Proceedings) 20 December, 2018",32,57,"2017-2019",1,2,16,"Maria Caulfield"," 20 December, 2018","House of Commons","http://lordsbusiness.parliament.uk/ItemOfBusiness?itemOfBusinessId=57399&sectionId=40&businessPaperDate=2018-12-20","/parliament-57","/parliament-57/session-2017-2019","/parliament-57/session-2017-2019/chamber-1","/parliament-57/session-2017-2019/chamber-1/bill-2","/parliament-57/session-2017-2019/chamber-1/bill-2/event-16","/parliament-57/session-2017-2019/chamber-1/bill-2/event-16"
"33","Homes (Fitness for Human Habitation) Bill","1st reading: House of Commons 19 July, 2017",33,57,"2017-2019",1,3,1,"Lord Best"," 19 July, 2017","House of Commons","https://hansard.parliament.uk/Commons/2017-07-19/debates/AE667929-DA6E-4938-9928-FE573D5D0F3A/PointsOfOrder","/parliament-57","/parliament-57/session-2017-2019","/parliament-57/session-2017-2019/chamber-1","/parliament-57/session-2017-2019/chamber-1/bill-3","/parliament-57/session-2017-2019/chamber-1/bill-3/event-1","/parliament-57/session-2017-2019/chamber-1/bill-3/event-1"
"34","Homes (Fitness for Human Habitation) Bill","2nd reading: House of Commons 19 January, 2018",34,57,"2017-2019",1,3,2,"Lord Best"," 19 January, 2018","House of Commons","https://hansard.parliament.uk/commons/2018-01-19/debates/8B42756A-B334-4C72-AD8D-BF437FE1C66B/Homes(FitnessForHumanHabitationAndLiabilityForHousingStandards)Bill#contribution-94EEB27D-9AAE-4579-BF8B-708C8459D58A","/parliament-57","/parliament-57/session-2017-2019","/parliament-57/session-2017-2019/chamber-1","/parliament-57/session-2017-2019/chamber-1/bill-3","/parliament-57/session-2017-2019/chamber-1/bill-3/event-2","/parliament-57/session-2017-2019/chamber-1/bill-3/event-2"
"35","Homes (Fitness for Human Habitation) Bill","Committee Debate: House of Commons 20 June, 2018(1)(2)",35,57,"2017-2019",1,3,3,"Lord Best"," 20 June, 2018","House of Commons","https://hansard.parliament.uk/commons/2018-06-20/debates/8374b9f8-d882-41f3-b38d-1f6f8e1357f5/Homes(FitnessForHumanHabitationAndLiabilityForHousingStandards)Bill","/parliament-57","/parliament-57/session-2017-2019","/parliament-57/session-2017-2019/chamber-1","/parliament-57/session-2017-2019/chamber-1/bill-3","/parliament-57/session-2017-2019/chamber-1/bill-3/event-3","/parliament-57/session-2017-2019/chamber-1/bill-3/event-3"
"36","Homes (Fitness for Human Habitation) Bill","Report stage: House of Commons 26 October, 2018",36,57,"2017-2019",1,3,4,"Lord Best"," 26 October, 2018","House of Commons","https://hansard.parliament.uk/commons/2018-10-26/debates/80F69C9B-FF8C-4984-AAD3-AEF7865CE1B2/Homes(FitnessForHabitation)Bill","/parliament-57","/parliament-57/session-2017-2019","/parliament-57/session-2017-2019/chamber-1","/parliament-57/session-2017-2019/chamber-1/bill-3","/parliament-57/session-2017-2019/chamber-1/bill-3/event-4","/parliament-57/session-2017-2019/chamber-1/bill-3/event-4"
"37","Homes (Fitness for Human Habitation) Bill","3rd reading: House of Commons 26 October, 2018",37,57,"2017-2019",1,3,5,"Lord Best"," 26 October, 2018","House of Commons","https://hansard.parliament.uk/commons/2018-10-26/debates/80F69C9B-FF8C-4984-AAD3-AEF7865CE1B2/Homes(FitnessForHabitation)Bill#debate-3616806","/parliament-57","/parliament-57/session-2017-2019","/parliament-57/session-2017-2019/chamber-1","/parliament-57/session-2017-2019/chamber-1/bill-3","/parliament-57/session-2017-2019/chamber-1/bill-3/event-5","/parliament-57/session-2017-2019/chamber-1/bill-3/event-5"
"38","Homes (Fitness for Human Habitation) Bill","1st reading (Hansard): House of Lords 29 October, 2018",38,57,"2017-2019",1,3,6,"Lord Best"," 29 October, 2018","House of Commons","https://hansard.parliament.uk/Lords/2018-10-29/debates/3E0FC5BB-9DE7-4FCC-97AC-540D5DEA5FD6/Homes(FitnessForHumanHabitation)Bill","/parliament-57","/parliament-57/session-2017-2019","/parliament-57/session-2017-2019/chamber-1","/parliament-57/session-2017-2019/chamber-1/bill-3","/parliament-57/session-2017-2019/chamber-1/bill-3/event-6","/parliament-57/session-2017-2019/chamber-1/bill-3/event-6"
"39","Homes (Fitness for Human Habitation) Bill","1st reading (Minutes of Proceedings): House of Lords 29 October, 2018",39,57,"2017-2019",1,3,7,"Lord Best"," 29 October, 2018","House of Commons","http://lordsbusiness.parliament.uk/ItemOfBusiness?itemOfBusinessId=54724&sectionId=40&businessPaperDate=2018-10-29","/parliament-57","/parliament-57/session-2017-2019","/parliament-57/session-2017-2019/chamber-1","/parliament-57/session-2017-2019/chamber-1/bill-3","/parliament-57/session-2017-2019/chamber-1/bill-3/event-7","/parliament-57/session-2017-2019/chamber-1/bill-3/event-7"
"40","Homes (Fitness for Human Habitation) Bill","2nd reading (Hansard): House of Lords 23 November, 2018",40,57,"2017-2019",1,3,8,"Lord Best"," 23 November, 2018","House of Commons","https://hansard.parliament.uk/lords/2018-11-23/debates/91C2C299-713D-423D-B110-B12CD04A036C/Homes(FitnessForHumanHabitation)Bill","/parliament-57","/parliament-57/session-2017-2019","/parliament-57/session-2017-2019/chamber-1","/parliament-57/session-2017-2019/chamber-1/bill-3","/parliament-57/session-2017-2019/chamber-1/bill-3/event-8","/parliament-57/session-2017-2019/chamber-1/bill-3/event-8"
"41","Homes (Fitness for Human Habitation) Bill","2nd reading (Minutes of Proceedings): House of Lords 23 November, 2018",41,57,"2017-2019",1,3,9,"Lord Best"," 23 November, 2018","House of Commons","http://lordsbusiness.parliament.uk/ItemOfBusiness?itemOfBusinessId=55576&sectionId=40&businessPaperDate=2018-11-23","/parliament-57","/parliament-57/session-2017-2019","/parliament-57/session-2017-2019/chamber-1","/parliament-57/session-2017-2019/chamber-1/bill-3","/parliament-57/session-2017-2019/chamber-1/bill-3/event-9","/parliament-57/session-2017-2019/chamber-1/bill-3/event-9"
"42","Homes (Fitness for Human Habitation) Bill","Order of Commitment discharged: House of Lords 12 December, 2018",42,57,"2017-2019",1,3,10,"Lord Best"," 12 December, 2018","House of Commons","https://hansard.parliament.uk/lords/2018-12-12/debates/CB03955F-88A9-4194-B8F5-9ED2702D478F/Homes(FitnessForHumanHabitation)Bill","/parliament-57","/parliament-57/session-2017-2019","/parliament-57/session-2017-2019/chamber-1","/parliament-57/session-2017-2019/chamber-1/bill-3","/parliament-57/session-2017-2019/chamber-1/bill-3/event-10","/parliament-57/session-2017-2019/chamber-1/bill-3/event-10"
"43","Homes (Fitness for Human Habitation) Bill","Order of Commitment discharged: House of Lords 12 December, 2018",43,57,"2017-2019",1,3,11,"Lord Best"," 12 December, 2018","House of Commons","http://lordsbusiness.parliament.uk/ItemOfBusiness?itemOfBusinessId=56761&sectionId=40&businessPaperDate=2018-12-12","/parliament-57","/parliament-57/session-2017-2019","/parliament-57/session-2017-2019/chamber-1","/parliament-57/session-2017-2019/chamber-1/bill-3","/parliament-57/session-2017-2019/chamber-1/bill-3/event-11","/parliament-57/session-2017-2019/chamber-1/bill-3/event-11"
"44","Homes (Fitness for Human Habitation) Bill","3rd reading (Hansard): House of Lords 19 December, 2018",44,57,"2017-2019",1,3,12,"Lord Best"," 19 December, 2018","House of Commons","https://hansard.parliament.uk/lords/2018-12-19/debates/F8CD68F7-817B-4A94-9731-0037742B7307/Homes(FitnessForHumanHabitation)Bill","/parliament-57","/parliament-57/session-2017-2019","/parliament-57/session-2017-2019/chamber-1","/parliament-57/session-2017-2019/chamber-1/bill-3","/parliament-57/session-2017-2019/chamber-1/bill-3/event-12","/parliament-57/session-2017-2019/chamber-1/bill-3/event-12"
"45","Homes (Fitness for Human Habitation) Bill","3rd reading (Minutes of Proceedings): House of Lords 19 December, 2018",45,57,"2017-2019",1,3,13,"Lord Best"," 19 December, 2018","House of Commons","http://lordsbusiness.parliament.uk/ItemOfBusiness?itemOfBusinessId=57192&sectionId=40&businessPaperDate=2018-12-19","/parliament-57","/parliament-57/session-2017-2019","/parliament-57/session-2017-2019/chamber-1","/parliament-57/session-2017-2019/chamber-1/bill-3","/parliament-57/session-2017-2019/chamber-1/bill-3/event-13","/parliament-57/session-2017-2019/chamber-1/bill-3/event-13"
"46","Homes (Fitness for Human Habitation) Bill","Royal Assent (Hansard) 20 December, 2018",46,57,"2017-2019",1,3,14,"Lord Best"," 20 December, 2018","House of Commons","https://hansard.parliament.uk/lords/2018-12-20/debates/2779639B-5A99-4BB7-8563-714492A4F3FB/RoyalAssent","/parliament-57","/parliament-57/session-2017-2019","/parliament-57/session-2017-2019/chamber-1","/parliament-57/session-2017-2019/chamber-1/bill-3","/parliament-57/session-2017-2019/chamber-1/bill-3/event-14","/parliament-57/session-2017-2019/chamber-1/bill-3/event-14"
